index,rooms,metratura,bathrooms,floor,condominium_expenses,date,contract,typology,total_floors,availability,other_features,price,year_of_build,condition,air_conditioning,energy_efficiency,city,neighborhood,car_parking,energy_performance_building,housing units,start_end_works,current_building_use,energy_certification,co2_emissions,elevator,floor_level,heating_centralized,heating_radiator,heating_gas,air_conditiong_centralized,air_conditioning_heat
0,5,183,2,R,567,10/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,fibra otticaporta blindatabalconeportiere intera giornataimpianto tv centralizzatocantinagiardino comuneinfissi esterni in doppio vetro / pvcesposizione doppia,1310000,1930,very good / refurbished,,"e≥ 3,51 kwh/m² year",milano,arco della pace,,,,,,,,1,0,centralized,to radiators,gas powered,,
0,5,175,2,3,292,20/09/2022,sale,apartment | entire property | stately property class,5 floors,libero,fibra otticaporta blindataarmadio a murobalconeportiere intera giornataimpianto tv singoloparzialmente arredatocantinagiardino comuneinfissi esterni in doppio vetro / legnoesposizione doppia,1300000,1930,good / habitable,"autonomous, cold",e131.78 kwh/m² year,milano,indipendenza,,,,,,,,1,3,autonomous,to radiators,methane powered,autonomous, cold
0,4,120,2,6,330,16/02/2023,sale,apartment | entire property | medium property class,7 floors,libero,caminettofibra otticavideocitofonoporta blindatabalconeimpianto tv centralizzatoparzialmente arredatocantinainfissi esterni in doppio vetro / legnoesposizione doppia,595000,1960,to be restructured,,g167.25 kwh/m² year,milano,città studi,,,,,,,,1,6,centralized,to radiators,methane powered,,
0,4,130,2,3,417,22/02/2023,sale,apartment | entire property | medium property class,6 floors,libero,videocitofonoarmadio a murobalconeportiere intera giornataimpianto tv centralizzatoarredatocantinagiardino comuneinfissi esterni in doppio vetro / legnoesposizione doppia,795000,1940,good / habitable,,e134 kwh/m² year,milano,città studi,,,,,,,,1,3,centralized,to radiators,methane powered,,
0,2,55,1,4,160,20/02/2023,sale,apartment | entire property | stately property class,8 floors,,fibra otticaimpianto di allarmeporta blindataesposizione internabalconeportiere intera giornataimpianto tv centralizzatoparzialmente arredatogiardino comuneinfissi esterni in doppio vetro / legno,420000,1962,very good / refurbished,"autonomous, cold/heat",e≥ 175 kwh/m² year,milano,sempione,,,,,,,,1,4,centralized,On the floor,fueled by diesel,autonomous, cold/hot
0,4,140,3,3,563,09/01/2023,sale,apartment | entire property | stately property class,4 floors,libero,cancello elettricofibra otticaporta blindataesposizione esternaterrazzaportiere intera giornataimpianto tv centralizzatocantinagiardino comuneinfissi esterni in vetro / metallo,1420000,1960,good / habitable,,g154.81 kwh/m² year,milano,buenos aires,1 in garage/box,,,,,,,1,3,centralized,On the floor,gas powered,,
0,5,273,3,1,150,23/01/2023,sale,lofts | entire property | stately property class,3 floors,libero,caminettofibra otticavideocitofonoimpianto di allarmeporta blindataesposizione esternabalconeterrazzaimpianto tv centralizzatogiardino privatoinfissi esterni in triplo vetro / legno,1650000,1920,good / habitable,,"g≥ 3,51 kwh/m² year",milano,navigli - darsena,"1 in garage/box, 2 all'esterno",winter summer,,,,,,0,1,autonomous,to radiators,methane powered,,
0,1,40,1,1,100,03/02/2023,sale | income property,apartment | entire property | medium property class,5 floors,,fibra otticaporta blindataesposizione esternaterrazzaimpianto tv centralizzatoparzialmente arredatocantinainfissi esterni in doppio vetro / pvc,189000,1960,very good / refurbished,"autonomous, cold/heat",g125.3 kwh/m² year,milano,ortica,,,,,,,,1,1,centralized,to radiators,methane powered,autonomous, cold/hot
0,1,40,1,6,142,15/02/2023,sale | income property,apartment | entire property | stately property class,6 floors,,mansardavideocitofonoporta blindataesposizione internaportiere intera giornataimpianto tv centralizzatoarredatogiardino comuneinfissi esterni in doppio vetro / legno,420000,1800,very good / refurbished,"autonomous, cold",g178.08 kwh/m² year,milano,carrobbio,,,,,,,,1,6,autonomous,to radiators,methane powered,autonomous, cold
0,2,60,1,1,125,09/02/2023,sale,apartment | entire property | stately property class,8 floors,libero,porta blindataesposizione esternabalconeportiere mezza giornataimpianto tv centralizzatoarredatocantinainfissi esterni in doppio vetro / pvc,355000,1960,new / under construction,system preparation,e175 kwh/m² year,milano,san siro,,,,,,,,1,1,centralized,to radiators,methane powered,system preparation,
