metratura,price
48,380000
155,2200000
100,870000
82,349000
216,1450000
105,695000
228,1350000
150,880000
70,215000
180,2000000
120,1200000
140,990000
89,280000
194,1995000
45,159000
73,293000
60,149000
71,482500
181,2250000
120,319000
65,630000
80,349000
74,170000
80,238000
60,167000
55,365000
80,549000
140,750000
74,480000
123,1060000
191,1336000
74,649000
87,415000
225,1475000
56,485000
60,485000
225,1475000
60,485000
51,340000
95,670000
135,880000
225,1970000
50,328000
148,1050000
183,1590000
142,1250000
56,229000
115,630000
81,458000
59,420000
65,430000
50,220000
59,429000
56,150000
156,727000
27,99000
159,670000
170,805000
80,399000
83,350000
50,470000
115,630000
115,570000
73,299000
254,2580000
81,750000
45,358000
66,449000
115,533000
127,550000
140,1100000
190,740000
50,237000
128,450000
158,1902000
80,660000
105,598000
90,595000
55,269000
51,450000
50,380000
105,675000
143,290000
67,549000
92,520000
180,1540000
106,485000
50,340000
251,1890000
35,305000
163,545000
70,699000
55,255000
78,246000
60,335000
85,389000
87,395000
55,405000
60,389000
78,250000
60,845000
65,275000
82,528000
100,369000
210,3350000
101,1400000
89,375000
270,2050000
124,1090000
115,550000
65,495000
91,450000
71,629000
85,395000
67,299000
121,581000
100,850000
102,570000
103,505000
220,1290000
103,860000
83,419000
310,2350000
260,2250000
80,409000
68,260000
58,280000
110,719000
60,229000
124,489000
50,160000
124,479000
165,940000
160,910000
110,389000
59,250000
150,610000
140,590000
125,410000
180,1500000
38,240000
120,270000
257,1890000
74,469000
120,385000
90,295000
35,98000
100,295000
50,279000
40,370000
140,1290000
138,1076000
180,1422000
147,1345000
93,830000
139,549000
121,528000
110,240000
207,1960000
70,570000
155,1590000
106,670000
304,2130000
100,590000
100,640000
154,1220000
100,1400000
100,440000
86,625000
120,690000
1872,3600000
190,1590000
67,275000
63,395000
85,475000
92,270000
98,399000
145,1250000
190,995000
80,415000
183,1300000
116,825000
80,435000
130,460000
135,1470000
190,1850000
132,1050000
156,1250000
48,300000
60,275000
1250000,1250000
120,250000
90,240000
123,1060000
80,850000
58,243600
106,295000
117,487000
110,580000
100,480000
46,188600
170,1068000
311,5300000
213,2250000
154,675000
276,1190000
142,997000
226,1100000
98,450000
53,225000
87,440000
110,650000
278,3900000
59,490000
90,420000
150,690000
60,234000
106,443000
136,1178000
130,720000
47,379000
124,485000
66,250000
100,980000
160,650000
93,550000
88,375000
109,770000
